Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
267,145,111,145,157,193,111,193,157,0.0445288,1.51383,-0.284269,0.0374898,2.12874,0.00578054,464,464,464,464,464,0,85,91,85,-40,-52,91,-52,-40,0.00189051,0.0893158,-0.0960455,0.000920332,0.00881163,0.00316186,464,33387,-87193,-147,1411,-422,128,215.177,,
267,147,105,147,157,195,105,195,157,0.0445288,1.52379,-0.284306,0.0374898,2.12874,0.00578054,-17759,-17759,-17759,-17759,-17759,0,87,85,87,-40,-50,85,-50,-40,-0.0722954,0.152837,0.0509111,-0.00193369,-0.0614349,-0.0255195,-17759,57132,46218,309,-9842,3406,128,208.358,,
259,147,103,147,155,197,103,197,155,0.0445288,1.5369,-0.287374,0.0374898,2.12874,0.00578054,-12682,-12682,-12682,-12682,-12682,0,87,83,87,-42,-48,83,-48,-42,-0.0516295,0.123921,-0.000320134,-0.00164884,-0.0341296,-0.0170241,-12682,46323,-290,264,-5467,2272,130,205.37,,
259,147,103,147,155,197,103,197,155,0.0445288,1.55952,-0.290922,0.0372803,2.12686,0.00578054,-12967,-12967,-12967,-12967,-12967,0,87,83,87,-42,-48,83,-48,-42,-0.0527883,0.123476,0.0029648,-0.00235248,-0.0369246,-0.0185844,-12967,46156,2691,376,-5915,2481,129,205.37,,
251,147,100,147,153,199,100,199,153,0.0443922,1.56975,-0.292105,0.0372803,2.12623,0.00578054,-10261,-10261,-10261,-10261,-10261,0,87,80,87,-44,-46,80,-46,-44,-0.0417731,0.106295,-0.0220117,-0.00204797,-0.0229988,-0.0137962,-10261,39734,-19982,328,-3684,1841,129,201.261,,
243,147,97,147,150,201,97,201,150,0.0443922,1.59004,-0.292105,0.0370709,2.1256,0.00578054,-4275,-4275,-4275,-4275,-4275,0,87,77,87,-47,-44,77,-44,-47,-0.0174062,0.0830128,-0.0529846,-0.000837241,-0.0078163,-0.00496255,-4275,31031,-48101,134,-1252,662,129,197.499,,
247,148,95,148,150,201,95,201,150,0.044119,1.60171,-0.294248,0.0368614,2.12539,0.00578054,-15278,-15278,-15278,-15278,-15278,0,88,75,88,-47,-44,75,-44,-47,-0.0621954,0.113626,-0.0178091,-0.00494488,-0.0283181,-0.0223724,-15278,42474,-16167,792,-4536,2986,128,196.071,,
235,149,90,149,146,205,90,205,146,0.0438458,1.6105,-0.299903,0.0368614,2.12539,0.00578054,-8976,-8976,-8976,-8976,-8976,0,89,70,89,-51,-40,70,-40,-51,-0.0365419,0.0884477,-0.0485619,-0.00290376,-0.0115451,-0.0117841,-8976,33062,-44086,465,-1849,1573,129,190.638,,
232,148,89,148,147,205,89,205,147,0.0435726,1.62459,-0.303895,0.036652,2.12476,0.00578054,-11596,-11596,-11596,-11596,-11596,0,88,69,88,-50,-40,69,-40,-50,-0.0472081,0.0918443,-0.0390146,-0.00400743,-0.0155248,-0.0157167,-11596,34332,-35418,642,-2487,2098,129,188.337,,
232,148,89,148,147,205,89,205,147,0.043436,1.64398,-0.30918,0.0364426,2.12476,0.00552922,-11856,-11856,-11856,-11856,-11856,0,88,69,88,-50,-40,69,-40,-50,-0.0482654,0.0924802,-0.0377367,-0.00465955,-0.0174004,-0.0170733,-11856,34570,-34258,746,-2787,2279,128,188.337,,
224,148,87,148,145,207,87,207,145,0.043436,1.64802,-0.314428,0.0362331,2.12476,0.00552922,-5143,-5143,-5143,-5143,-5143,0,88,67,88,-52,-38,67,-38,-52,-0.0209375,0.0718085,-0.0491345,-0.001855,-0.00845986,-0.00667717,-5143,26842,-44605,297,-1355,891,128,185.868,,
224,149,85,149,144,208,85,208,144,0.043436,1.6596,-0.31927,0.0351859,2.1233,0.00552922,-8987,-8987,-8987,-8987,-8987,0,89,65,89,-53,-37,65,-37,-53,-0.0365869,0.0810286,-0.0482806,-0.00366638,-0.0120202,-0.0125054,-8987,30289,-43830,587,-1925,1669,128,184.564,,
224,150,84,150,144,209,84,209,144,0.043436,1.66974,-0.325775,0.034767,2.1233,0.00552922,-12911,-12911,-12911,-12911,-12911,0,90,64,90,-53,-36,64,-36,-53,-0.0525596,0.0904851,-0.0481727,-0.0056583,-0.0154739,-0.0187245,-12911,33824,-43732,906,-2479,2499,128,184.09,,
220,149,84,149,145,209,84,209,145,0.0419335,1.68734,-0.331837,0.0339293,2.12225,0.00552922,-12104,-12104,-12104,-12104,-12104,0,89,64,89,-52,-36,64,-36,-52,-0.0492777,0.0858535,-0.0433175,-0.00556972,-0.0159758,-0.0178656,-12104,32093,-39325,892,-2559,2385,130,182.828,,
