No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
57,128,131,86,131,170,220,86,220,170,-0.140279,1.89361,-0.678226,0.0215723,2.19828,-0.09651,-1358,-1358,-1358,-1358,-1358,0,71,66,71,-27,-25,66,-25,-27,-0.00552936,0.0462914,-0.0386707,-0.00206098,-0.0152782,-0.0113762,-1358,17304,-35106,330,-2447,1518,130,158.521
58,123,130,82,130,169,221,82,221,169,-0.141099,1.89504,-0.683474,0.0213629,2.19828,-0.0975153,-2234,-2234,-2234,-2234,-2234,0,70,62,70,-28,-24,62,-24,-28,-0.0090967,0.0440991,-0.0306691,-0.00319545,-0.0136147,-0.0111221,-2234,16484,-27842,511,-2181,1484,130,152.539
59,123,130,82,130,169,221,82,221,169,-0.142465,1.9007,-0.688205,0.0211534,2.19807,-0.0992746,-2270,-2270,-2270,-2270,-2270,0,70,62,70,-28,-24,62,-24,-28,-0.00924311,0.0444057,-0.0306176,-0.00325371,-0.0139717,-0.0112992,-2270,16599,-27795,521,-2238,1508,129,152.539
60,123,129,83,129,170,220,83,220,170,-0.142875,1.90608,-0.692086,0.0203157,2.19786,-0.101285,-2271,-2271,-2271,-2271,-2271,0,69,63,69,-27,-25,63,-25,-27,-0.00924633,0.0445683,-0.030567,-0.00325631,-0.0142055,-0.0112796,-2271,16660,-27749,521,-2275,1505,129,152.997
61,123,129,81,129,169,220,81,220,169,-0.143421,1.91129,-0.696262,0.0165458,2.19639,-0.103798,-3104,-3104,-3104,-3104,-3104,0,69,61,69,-28,-25,61,-25,-28,-0.0126369,0.0458203,-0.0265399,-0.00430784,-0.0138881,-0.0117014,-3104,17128,-24093,690,-2224,1562,129,150.728
62,120,129,80,129,169,221,80,221,169,-0.144104,1.91676,-0.70018,0.0161269,2.19639,-0.105809,-3068,-3068,-3068,-3068,-3068,0,69,60,69,-28,-24,60,-24,-28,-0.0124934,0.0441437,-0.025283,-0.00422136,-0.013548,-0.0113768,-3068,16501,-22952,676,-2170,1518,132,149.191
63,118,127,79,127,169,220,79,220,169,-0.145333,1.92323,-0.703211,0.015708,2.19618,-0.106814,-2899,-2899,-2899,-2899,-2899,0,67,59,67,-28,-25,59,-25,-28,-0.0118014,0.0424472,-0.0239465,-0.00410082,-0.0132184,-0.0108832,-2899,15867,-21739,656,-2117,1452,130,146.475
64,110,126,76,126,168,222,76,222,168,-0.146426,1.93104,-0.706796,0.0150797,2.19597,-0.108071,-2076,-2076,-2076,-2076,-2076,0,66,56,66,-29,-23,56,-23,-29,-0.00845303,0.0369989,-0.023511,-0.00298973,-0.0127297,-0.0096064,-2076,13830,-21344,478,-2039,1282,128,141.489
65,110,126,76,126,168,222,76,222,168,-0.148065,1.93741,-0.709494,0.0142419,2.19597,-0.110836,-2110,-2110,-2110,-2110,-2110,0,66,56,66,-29,-23,56,-23,-29,-0.00859211,0.0372488,-0.023446,-0.00306916,-0.0130493,-0.0097726,-2110,13924,-21285,491,-2090,1304,129,141.489
66,105,125,75,125,168,223,75,223,168,-0.148338,1.93938,-0.712783,0.0134042,2.19576,-0.111087,-1421,-1421,-1421,-1421,-1421,0,65,55,65,-29,-22,55,-22,-29,-0.00578586,0.0337711,-0.0237098,-0.00219375,-0.012955,-0.00901654,-1421,12624,-21524,351,-2075,1203,131,139.047
