No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
50,125,110,51,110,141,200,51,200,141,-0.0829109,1.87897,-0.569637,0.02618,2.30216,-0.0407151,861,861,861,861,861,0,50,31,50,-56,-45,31,-45,-56,0.00350813,0.0496556,-0.0381081,-0.00214193,-0.0172302,-0.0053043,861,18561,-34595,343,-2760,708,129,122.756
51,120,109,49,109,141,201,49,201,141,-0.0829109,1.88436,-0.57459,0.0259706,2.30216,-0.0412178,751,751,751,751,751,0,49,29,49,-56,-44,29,-44,-56,0.00306116,0.0462539,-0.036156,-0.00202263,-0.0167552,-0.00522244,751,17290,-32823,324,-2684,697,130,119.721
52,120,109,49,109,141,201,49,201,141,-0.0829109,1.89019,-0.579358,0.0251328,2.30153,-0.0414691,758,758,758,758,758,0,49,29,49,-56,-44,29,-44,-56,0.00308802,0.0464135,-0.0359998,-0.00200148,-0.0170748,-0.00517855,758,17349,-32681,320,-2735,691,131,119.721
53,120,109,48,109,141,201,48,201,141,-0.0829109,1.89603,-0.583793,0.0240856,2.30153,-0.0417204,1216,1216,1216,1216,1216,0,49,28,49,-56,-44,28,-44,-56,0.00495208,0.0452509,-0.0368804,-0.0015661,-0.0173779,-0.00464684,1216,16915,-33481,250,-2784,620,128,119.004
54,115,108,48,108,141,202,48,202,141,-0.0829109,1.9015,-0.588856,0.0224101,2.30111,-0.0422231,246,246,246,246,246,0,48,28,48,-56,-43,28,-43,-56,0.00100398,0.0445436,-0.0329476,-0.00221161,-0.0168694,-0.00540535,246,16650,-29910,354,-2702,721,132,117.448
55,115,108,46,108,141,202,46,202,141,-0.0829109,1.90788,-0.59355,0.0201062,2.30028,-0.0429771,1076,1076,1076,1076,1076,0,48,26,48,-56,-43,26,-43,-56,0.00438417,0.0424121,-0.0349795,-0.00142227,-0.017375,-0.00453356,1076,15854,-31755,227,-2783,605,129,116.06
56,113,107,45,107,142,202,45,202,142,-0.0829109,1.91479,-0.598059,0.019059,2.30007,-0.0439824,1688,1688,1688,1688,1688,0,47,25,47,-55,-43,25,-43,-55,0.00687506,0.0390058,-0.0334779,-0.000921612,-0.0168026,-0.00368562,1688,14580,-30392,147,-2691,492,129,114.088
57,108,105,44,105,142,202,44,202,142,-0.0829109,1.92206,-0.602532,0.019059,2.30007,-0.0442337,1581,1581,1581,1581,1581,0,45,24,45,-55,-43,24,-43,-55,0.00643663,0.0361062,-0.0298242,-0.00100092,-0.0159492,-0.00355209,1581,13496,-27075,160,-2555,474,129,111.808
58,108,105,44,105,142,202,44,202,142,-0.0829109,1.92574,-0.606597,0.0188496,2.30007,-0.045239,1589,1589,1589,1589,1589,0,45,24,45,-55,-43,24,-43,-55,0.00647172,0.0361853,-0.0297424,-0.000977649,-0.0161114,-0.00350541,1589,13526,-27001,156,-2581,467,128,111.808
59,101,104,42,104,141,204,42,204,141,-0.0829109,1.92888,-0.610589,0.0186402,2.29986,-0.0454904,413,413,413,413,413,0,44,22,44,-56,-41,22,-41,-56,0.00168304,0.0351137,-0.0265017,-0.0016114,-0.0154951,-0.00440483,413,13125,-24059,258,-2482,588,129,108.729
60,101,104,41,104,141,204,41,204,141,-0.0829109,1.93418,-0.614507,0.0186402,2.29986,-0.0457417,783,783,783,783,783,0,44,21,44,-56,-41,21,-41,-56,0.00318925,0.034384,-0.0276281,-0.00130453,-0.016058,-0.00414613,783,12853,-25081,208,-2572,553,127,108.134
61,96,103,41,103,141,205,41,205,141,-0.0829109,1.93804,-0.617685,0.0186402,2.29986,-0.045993,32,32,32,32,32,0,43,21,43,-56,-40,21,-40,-56,0.000131386,0.0332119,-0.0234731,-0.0017768,-0.0146951,-0.00442542,32,12415,-21309,284,-2354,590,129,106.569
62,96,103,40,103,141,205,40,205,141,-0.0829109,1.94252,-0.62127,0.0184307,2.29986,-0.0464957,376,376,376,376,376,0,43,20,43,-56,-40,20,-40,-56,0.00153098,0.0325621,-0.0245584,-0.00150865,-0.01528,-0.00423703,376,12172,-22294,241,-2447,565,131,105.991
63,96,103,40,103,141,205,40,205,141,-0.0829109,1.94629,-0.623931,0.0184307,2.29986,-0.048255,379,379,379,379,379,0,43,20,43,-56,-40,20,-40,-56,0.001543,0.0326342,-0.0244899,-0.00150801,-0.0154206,-0.00422684,379,12199,-22232,241,-2470,564,131,105.991
64,96,103,40,103,141,205,40,205,141,-0.0829109,1.95042,-0.627738,0.0182213,2.29986,-0.0487576,381,381,381,381,381,0,43,20,43,-56,-40,20,-40,-56,0.00155391,0.0327278,-0.0244187,-0.00150234,-0.0155863,-0.00421293,381,12234,-22168,240,-2497,562,129,105.991
65,92,102,38,102,141,206,38,206,141,-0.0829109,1.95482,-0.630473,0.0182213,2.29986,-0.0495116,342,342,342,342,342,0,42,18,42,-56,-39,18,-39,-56,0.00139572,0.0304208,-0.0229514,-0.00141218,-0.0150807,-0.00407322,342,11371,-20836,226,-2416,543,129,103.334
66,90,102,37,102,141,207,37,207,141,-0.0829109,1.95931,-0.6338,0.0182213,2.29986,-0.0502656,216,216,216,216,216,0,42,17,42,-56,-38,17,-38,-56,0.0008796,0.0296909,-0.0224078,-0.00142503,-0.0150477,-0.00412721,216,11098,-20342,228,-2410,551,128,102.074
67,85,100,37,100,141,207,37,207,141,-0.0829109,1.96559,-0.636498,0.0182213,2.29965,-0.0505169,-185,-185,-185,-185,-185,0,40,17,40,-56,-38,17,-38,-56,-0.000753586,0.0276429,-0.0179893,-0.00165827,-0.0130563,-0.00387969,-185,10333,-16331,265,-2091,517,132,100.454
68,81,100,33,100,140,209,33,209,140,-0.0829109,1.96775,-0.639639,0.0180118,2.29965,-0.0510196,-48,-48,-48,-48,-48,0,40,13,40,-57,-36,13,-36,-57,-0.000198265,0.0256292,-0.0184606,-0.00139237,-0.0135102,-0.00382398,-48,9580,-16759,223,-2164,510,129,97.7139
69,81,100,33,100,140,209,33,209,140,-0.0829109,1.97125,-0.641598,0.0180118,2.29965,-0.0520249,-48,-48,-48,-48,-48,0,40,13,40,-57,-36,13,-36,-57,-0.000196087,0.0256817,-0.0184133,-0.00139822,-0.0136101,-0.00382594,-48,9600,-16716,224,-2180,510,130,97.7139
70,81,100,33,100,141,209,33,209,141,-0.0829109,1.97376,-0.644592,0.0178024,2.29965,-0.0522762,172,172,172,172,172,0,40,13,40,-56,-36,13,-36,-56,0.00070201,0.0253571,-0.0194019,-0.00123438,-0.0141959,-0.00379836,172,9478,-17613,197,-2274,507,133,97.1339
71,81,100,32,100,141,209,32,209,141,-0.0829109,1.97762,-0.646773,0.017593,2.29965,-0.0527789,376,376,376,376,376,0,40,12,40,-56,-36,12,-36,-56,0.00153395,0.0252633,-0.0207895,-0.00104779,-0.0151327,-0.0037932,376,9443,-18873,167,-2424,506,129,96.7471
72,79,99,32,99,140,209,32,209,140,-0.0829109,1.98121,-0.649619,0.0171741,2.29965,-0.0530302,26,26,26,26,26,0,39,12,39,-57,-36,12,-36,-57,0.00010669,0.0245882,-0.0175294,-0.00130658,-0.0134873,-0.00363808,26,9191,-15913,209,-2160,485,128,96.5142
73,77,98,31,98,140,209,31,209,140,-0.0829109,1.98408,-0.651984,0.0169646,2.29965,-0.0532815,95,95,95,95,95,0,38,11,38,-57,-36,11,-36,-57,0.000389228,0.023406,-0.0167621,-0.00122167,-0.0131503,-0.00346912,95,8749,-15217,195,-2106,463,126,95.352
74,76,98,29,98,141,210,29,210,141,-0.0829109,1.98723,-0.654091,0.0165458,2.29944,-0.0535329,424,424,424,424,424,0,38,9,38,-56,-35,9,-35,-56,0.0017273,0.0225721,-0.0188634,-0.00089936,-0.014571,-0.00350758,424,8437,-17124,144,-2334,468,127,93.3649
75,76,98,29,98,141,210,29,210,141,-0.0829109,1.98956,-0.656678,0.0161269,2.29923,-0.0547895,425,425,425,425,425,0,38,9,38,-56,-35,9,-35,-56,0.0017325,0.0226161,-0.0188365,-0.000889738,-0.014643,-0.00349301,425,8454,-17100,142,-2345,466,131,93.3649
76,76,98,29,98,141,210,29,210,141,-0.0829109,1.99243,-0.658822,0.0159174,2.29902,-0.0550408,427,427,427,427,427,0,38,9,38,-56,-35,9,-35,-56,0.00174192,0.0226576,-0.018802,-0.000883814,-0.0147197,-0.00347901,427,8469,-17069,141,-2358,464,130,93.3649
